topology,alpha,seed,spectral_gap,round,avg_acc,worst_acc
line,100.0,0,0.0326289891365642,1,0.78562,0.7586
line,100.0,0,0.0326289891365642,2,0.8412200000000001,0.8308
line,100.0,0,0.0326289891365642,3,0.86005,0.8538
line,100.0,0,0.0326289891365642,4,0.87076,0.8655
line,100.0,0,0.0326289891365642,5,0.8753399999999999,0.858
line,100.0,0,0.0326289891365642,6,0.88268,0.8788
line,100.0,0,0.0326289891365642,7,0.8873300000000001,0.8843
line,100.0,0,0.0326289891365642,8,0.88935,0.8838
line,100.0,0,0.0326289891365642,9,0.8930199999999999,0.8892
line,100.0,0,0.0326289891365642,10,0.89415,0.8864
line,100.0,0,0.0326289891365642,11,0.8965799999999999,0.8925
line,100.0,0,0.0326289891365642,12,0.8996000000000001,0.8901
line,100.0,0,0.0326289891365642,13,0.90004,0.8946
line,100.0,0,0.0326289891365642,14,0.90009,0.8924
line,100.0,0,0.0326289891365642,15,0.9029,0.8952
line,100.0,0,0.0326289891365642,16,0.9034599999999999,0.8985
line,100.0,0,0.0326289891365642,17,0.9042,0.901
line,100.0,0,0.0326289891365642,18,0.90418,0.8954
line,100.0,0,0.0326289891365642,19,0.9063800000000001,0.8996
line,100.0,0,0.0326289891365642,20,0.90464,0.9017
line,100.0,0,0.0326289891365642,21,0.90496,0.8955
line,100.0,0,0.0326289891365642,22,0.90586,0.8982
line,100.0,0,0.0326289891365642,23,0.9070600000000001,0.901
line,100.0,0,0.0326289891365642,24,0.90662,0.8963
line,100.0,0,0.0326289891365642,25,0.90717,0.9001
line,100.0,0,0.0326289891365642,26,0.9061899999999999,0.8967
line,100.0,0,0.0326289891365642,27,0.9083,0.9024
line,100.0,0,0.0326289891365642,28,0.9072699999999999,0.9003
line,100.0,0,0.0326289891365642,29,0.9088900000000001,0.9006
line,100.0,0,0.0326289891365642,30,0.90919,0.9
line,100.0,0,0.0326289891365642,31,0.9079499999999999,0.8991
line,100.0,0,0.0326289891365642,32,0.90761,0.901
line,100.0,0,0.0326289891365642,33,0.9077400000000001,0.899
line,100.0,0,0.0326289891365642,34,0.9076000000000001,0.8976
line,100.0,0,0.0326289891365642,35,0.90831,0.9012
line,100.0,0,0.0326289891365642,36,0.9080199999999999,0.9021
line,100.0,0,0.0326289891365642,37,0.9089700000000001,0.9009
line,100.0,0,0.0326289891365642,38,0.9082800000000001,0.9004
line,100.0,0,0.0326289891365642,39,0.9074500000000001,0.8984
line,100.0,0,0.0326289891365642,40,0.9083,0.8989
line,100.0,0,0.0326289891365642,41,0.90818,0.9022
line,100.0,0,0.0326289891365642,42,0.9084200000000001,0.8949
line,100.0,0,0.0326289891365642,43,0.9076700000000001,0.8965
line,100.0,0,0.0326289891365642,44,0.90838,0.9028
line,100.0,0,0.0326289891365642,45,0.90916,0.9005
line,100.0,0,0.0326289891365642,46,0.90945,0.9011
line,100.0,0,0.0326289891365642,47,0.90739,0.8986
line,100.0,0,0.0326289891365642,48,0.90952,0.8996
line,100.0,0,0.0326289891365642,49,0.9087400000000001,0.9012
line,100.0,0,0.0326289891365642,50,0.90771,0.8964
line,100.0,1,0.0326289891365642,1,0.76406,0.7083
line,100.0,1,0.0326289891365642,2,0.83795,0.8279
line,100.0,1,0.0326289891365642,3,0.85785,0.841
line,100.0,1,0.0326289891365642,4,0.86661,0.8601
line,100.0,1,0.0326289891365642,5,0.8763299999999999,0.8674
line,100.0,1,0.0326289891365642,6,0.88269,0.8647
line,100.0,1,0.0326289891365642,7,0.8849899999999999,0.8791
line,100.0,1,0.0326289891365642,8,0.8897,0.8829
line,100.0,1,0.0326289891365642,9,0.8932100000000001,0.8888
line,100.0,1,0.0326289891365642,10,0.89659,0.8924
line,100.0,1,0.0326289891365642,11,0.89793,0.8952
line,100.0,1,0.0326289891365642,12,0.90008,0.8941
line,100.0,1,0.0326289891365642,13,0.90112,0.8967
line,100.0,1,0.0326289891365642,14,0.90136,0.8932
line,100.0,1,0.0326289891365642,15,0.9032600000000001,0.8909
line,100.0,1,0.0326289891365642,16,0.90561,0.8987
line,100.0,1,0.0326289891365642,17,0.90495,0.8976
line,100.0,1,0.0326289891365642,18,0.90649,0.9018
line,100.0,1,0.0326289891365642,19,0.9068200000000001,0.898
line,100.0,1,0.0326289891365642,20,0.90831,0.9021
