alpha,seed,round,accuracy
0.1,1,35,0.889
0.1,1,40,0.8831
0.1,1,45,0.8894
0.1,1,50,0.8911
0.1,2,5,0.6909
0.1,2,10,0.7626
0.1,2,15,0.7782
0.1,2,20,0.776
0.1,2,25,0.8006
0.1,2,30,0.8081
0.1,2,35,0.8208
0.1,2,40,0.8228
0.1,2,45,0.8382
0.1,2,50,0.8385
0.1,3,5,0.6942
0.1,3,10,0.7736
0.1,3,15,0.7784
0.1,3,20,0.796
0.1,3,25,0.7981
0.1,3,30,0.7987
0.1,3,35,0.804
0.1,3,40,0.797
0.1,3,45,0.7861
0.1,3,50,0.7907
0.1,4,5,0.7783
0.1,4,10,0.8144
0.1,4,15,0.82
0.1,4,20,0.83
0.1,4,25,0.8336
0.1,4,30,0.8458
0.1,4,35,0.8468
0.1,4,40,0.8558
0.1,4,45,0.8489
0.1,4,50,0.8548
0.1,5,5,0.781
0.1,5,10,0.8322
0.1,5,15,0.8592
0.1,5,20,0.8705
0.1,5,25,0.8748
0.1,5,30,0.8779
0.1,5,35,0.8804
0.1,5,40,0.8772
0.1,5,45,0.8817
0.1,5,50,0.8773
0.1,6,5,0.8174
0.1,6,10,0.8423
0.1,6,15,0.8671
0.1,6,20,0.8799
0.1,6,25,0.8901
0.1,6,30,0.895
0.1,6,35,0.8953
0.1,6,40,0.8991
0.1,6,45,0.8954
0.1,6,50,0.8959
0.1,7,5,0.7199
0.1,7,10,0.7703
0.1,7,15,0.7909
0.1,7,20,0.776
0.1,7,25,0.7938
0.1,7,30,0.7905
0.1,7,35,0.7975
0.1,7,40,0.7809
0.1,7,45,0.8064
0.1,7,50,0.8075
0.1,8,5,0.78
0.1,8,10,0.8135
0.1,8,15,0.846
0.1,8,20,0.8587
0.1,8,25,0.8544
0.1,8,30,0.8651
0.1,8,35,0.8671
0.1,8,40,0.8653
0.1,8,45,0.8657
0.1,8,50,0.8655
0.1,9,5,0.7797
0.1,9,10,0.8215
0.1,9,15,0.8368
0.1,9,20,0.8488
0.1,9,25,0.8748
0.1,9,30,0.8755
0.1,9,35,0.8764
0.1,9,40,0.8735
0.1,9,45,0.8823
0.1,9,50,0.8849
